Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,D,77536,BANKINDIA 28 OCT 2025 PE 157.00,2025-10-28,PE,157,BANKINDIA 28 OCT 2025 PE 157.00,0.05,5200,208000,1,BANKINDIA,N,INE084A01016,BANKINDIA 28 OCT 2025 PE 157.00_20251028_PE_157,XX
N,D,70954,BIOCON 28 OCT 2025 CE 470.00,2025-10-28,CE,470,BIOCON 28 OCT 2025 CE 470.00,0.05,2500,75000,1,BIOCON,N,INE376G01013,BIOCON 28 OCT 2025 CE 470.00_20251028_CE_470,XX
N,D,77603,BANKINDIA 25 NOV 2025 PE 88.00,2025-11-25,PE,88,BANKINDIA 25 NOV 2025 PE 88.00,0.05,5200,208000,1,BANKINDIA,N,INE084A01016,BANKINDIA 25 NOV 2025 PE 88.00_20251125_PE_88,XX
N,D,77604,BANKINDIA 25 NOV 2025 CE 89.00,2025-11-25,CE,89,BANKINDIA 25 NOV 2025 CE 89.00,0.05,5200,208000,1,BANKINDIA,N,INE084A01016,BANKINDIA 25 NOV 2025 CE 89.00_20251125_CE_89,XX
N,D,77617,BANKINDIA 25 NOV 2025 PE 97.00,2025-11-25,PE,97,BANKINDIA 25 NOV 2025 PE 97.00,0.05,5200,208000,1,BANKINDIA,N,INE084A01016,BANKINDIA 25 NOV 2025 PE 97.00_20251125_PE_97,XX
N,D,77618,BANKINDIA 25 NOV 2025 CE 98.00,2025-11-25,CE,98,BANKINDIA 25 NOV 2025 CE 98.00,0.05,5200,208000,1,BANKINDIA,N,INE084A01016,BANKINDIA 25 NOV 2025 CE 98.00_20251125_CE_98,XX
N,D,77621,BANKINDIA 25 NOV 2025 PE 99.00,2025-11-25,PE,99,BANKINDIA 25 NOV 2025 PE 99.00,0.05,5200,208000,1,BANKINDIA,N,INE084A01016,BANKINDIA 25 NOV 2025 PE 99.00_20251125_PE_99,XX
N,D,71022,BIOCON 28 OCT 2025 PE 470.00,2025-10-28,PE,470,BIOCON 28 OCT 2025 PE 470.00,0.05,2500,75000,1,BIOCON,N,INE376G01013,BIOCON 28 OCT 2025 PE 470.00_20251028_PE_470,XX
N,D,77635,BANKINDIA 25 NOV 2025 PE 103.00,2025-11-25,PE,103,BANKINDIA 25 NOV 2025 PE 103.00,0.05,5200,208000,1,BANKINDIA,N,INE084A01016,BANKINDIA 25 NOV 2025 PE 103.00_20251125_PE_103,XX
N,D,77636,BANKINDIA 25 NOV 2025 CE 104.00,2025-11-25,CE,104,BANKINDIA 25 NOV 2025 CE 104.00,0.05,5200,208000,1,BANKINDIA,N,INE084A01016,BANKINDIA 25 NOV 2025 CE 104.00_20251125_CE_104,XX
N,D,138135,NTPC 25 NOV 2025 CE 412.50,2025-11-25,CE,412.5,NTPC 25 NOV 2025 CE 412.50,0.05,1500,75000,1,NTPC,N,INE733E01010,NTPC 25 NOV 2025 CE 412.50_20251125_CE_412.5,XX
N,D,138136,NTPC 25 NOV 2025 PE 412.50,2025-11-25,PE,412.5,NTPC 25 NOV 2025 PE 412.50,0.05,1500,75000,1,NTPC,N,INE733E01010,NTPC 25 NOV 2025 PE 412.50_20251125_PE_412.5,XX
N,D,138150,NTPC 25 NOV 2025 CE 435.00,2025-11-25,CE,435,NTPC 25 NOV 2025 CE 435.00,0.05,1500,75000,1,NTPC,N,INE733E01010,NTPC 25 NOV 2025 CE 435.00_20251125_CE_435,XX
N,D,71045,BIOCON 28 OCT 2025 PE 500.00,2025-10-28,PE,500,BIOCON 28 OCT 2025 PE 500.00,0.05,2500,75000,1,BIOCON,N,INE376G01013,BIOCON 28 OCT 2025 PE 500.00_20251028_PE_500,XX
N,D,138153,NTPC 25 NOV 2025 PE 445.00,2025-11-25,PE,445,NTPC 25 NOV 2025 PE 445.00,0.05,1500,75000,1,NTPC,N,INE733E01010,NTPC 25 NOV 2025 PE 445.00_20251125_PE_445,XX
N,D,138167,NTPC 25 NOV 2025 PE 485.00,2025-11-25,PE,485,NTPC 25 NOV 2025 PE 485.00,0.05,1500,75000,1,NTPC,N,INE733E01010,NTPC 25 NOV 2025 PE 485.00_20251125_PE_485,XX
N,D,138168,NTPC 25 NOV 2025 CE 490.00,2025-11-25,CE,490,NTPC 25 NOV 2025 CE 490.00,0.05,1500,75000,1,NTPC,N,INE733E01010,NTPC 25 NOV 2025 CE 490.00_20251125_CE_490,XX
N,D,138185,NTPC 30 DEC 2025 CE 255.00,2025-12-30,CE,255,NTPC 30 DEC 2025 CE 255.00,0.05,1500,75000,1,NTPC,N,INE733E01010,NTPC 30 DEC 2025 CE 255.00_20251230_CE_255,XX
N,D,71349,BLUESTARCO 28 OCT 2025 PE 1480.00,2025-10-28,PE,1480,BLUESTARCO 28 OCT 2025 PE 1480.00,0.05,325,13000,1,BLUESTARCO,N,INE472A01039,BLUESTARCO 28 OCT 2025 PE 1480.00_20251028_PE_1480,XX
N,D,71356,BLUESTARCO 28 OCT 2025 CE 1560.00,2025-10-28,CE,1560,BLUESTARCO 28 OCT 2025 CE 1560.00,0.05,325,13000,1,BLUESTARCO,N,INE472A01039,BLUESTARCO 28 OCT 2025 CE 1560.00_20251028_CE_1560,XX
N,D,71379,BLUESTARCO 28 OCT 2025 PE 1840.00,2025-10-28,PE,1840,BLUESTARCO 28 OCT 2025 PE 1840.00,0.05,325,13000,1,BLUESTARCO,N,INE472A01039,BLUESTARCO 28 OCT 2025 PE 1840.00_20251028_PE_1840,XX
N,D,71381,BLUESTARCO 28 OCT 2025 PE 1880.00,2025-10-28,PE,1880,BLUESTARCO 28 OCT 2025 PE 1880.00,0.05,325,13000,1,BLUESTARCO,N,INE472A01039,BLUESTARCO 28 OCT 2025 PE 1880.00_20251028_PE_1880,XX
N,D,71383,BLUESTARCO 28 OCT 2025 PE 1920.00,2025-10-28,PE,1920,BLUESTARCO 28 OCT 2025 PE 1920.00,0.05,325,13000,1,BLUESTARCO,N,INE472A01039,BLUESTARCO 28 OCT 2025 PE 1920.00_20251028_PE_1920,XX
N,D,71422,BLUESTARCO 28 OCT 2025 PE 2120.00,2025-10-28,PE,2120,BLUESTARCO 28 OCT 2025 PE 2120.00,0.05,325,13000,1,BLUESTARCO,N,INE472A01039,BLUESTARCO 28 OCT 2025 PE 2120.00_20251028_PE_2120,XX
N,D,71424,BLUESTARCO 28 OCT 2025 PE 2160.00,2025-10-28,PE,2160,BLUESTARCO 28 OCT 2025 PE 2160.00,0.05,325,13000,1,BLUESTARCO,N,INE472A01039,BLUESTARCO 28 OCT 2025 PE 2160.00_20251028_PE_2160,XX
N,D,71456,BLUESTARCO 28 OCT 2025 CE 2400.00,2025-10-28,CE,2400,BLUESTARCO 28 OCT 2025 CE 2400.00,0.05,325,13000,1,BLUESTARCO,N,INE472A01039,BLUESTARCO 28 OCT 2025 CE 2400.00_20251028_CE_2400,XX
N,D,41557,MCX 25 NOV 2025 CE 12000.00,2025-11-25,CE,12000,MCX 25 NOV 2025 CE 12000.00,0.05,125,3750,1,MCX,N,INE745G01035,MCX 25 NOV 2025 CE 12000.00_20251125_CE_12000,XX
N,D,41575,NATIONALUM 28 OCT 2025 CE 297.50,2025-10-28,CE,297.5,NATIONALUM 28 OCT 2025 CE 297.50,0.05,3750,112500,1,NATIONALUM,N,INE139A01034,NATIONALUM 28 OCT 2025 CE 297.50_20251028_CE_297.5,XX
